Date,Description,Type,Primary Category,Sub Category,Vendor,Tax/Reason,Note,Amount,,
10/24/23,WAL-MART #5848,DEBIT,,,,,,-99.07,,
10/23/23,TST* Mizuki Sushi Elk,DEBIT,,,,,,-83.01,,
10/20/23,CHEVRON 0376769,DEBIT,,,,,,-72.56,,
10/20/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-14.18,,
10/20/23,NUGGET MARKET #6,DEBIT,,,,,,-14.32,,
10/20/23,ONCE UPON A CHLD #2026,DEBIT,,,,,,-15.62,,
10/20/23,PAPA MURPHY'S CA227,DEBIT,,,,,,-36.98,,
10/20/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-30.17,,
10/20/23,STARBUCKS STORE 13400,DEBIT,,,,,,-13.65,,
10/19/23,CARLS JR 1100184,DEBIT,,,,,,-25.3,,
10/19/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-227.64,,
10/19/23,SP EQUINOX BOTANICAL,DEBIT,,,,,,-67.49,,
10/18/23,CAROLINA'S MEXICAN #5,DEBIT,,,,,,-13.2,,
10/18/23,TORRID #5372,DEBIT,,,,,,-22,,
10/17/23,CHEVRON 0376769,DEBIT,,,,,,-91.43,,
10/17/23,CHICK-FIL-A #03653,DEBIT,,,,,,-31.61,,
10/17/23,ORKIN  LLC 002,DEBIT,,,,,,-53,,
10/17/23,STARBUCKS STORE 13400,DEBIT,,,,,,-29.4,,
10/17/23,YesStyle,DEBIT,,,,,,-52.11,,
10/16/23,CHEVRON 0376769,DEBIT,,,,,,-116.05,,
10/15/23,CHEVRON 0373255,DEBIT,,,,,,-15.98,,
10/15/23,IN N OUT BURGER 137,DEBIT,,,,,,-29.82,,
10/15/23,SPEEDWAY 04063 1233 HI,DEBIT,,,,,,-95.75,,
10/13/23,ARBYS 6166,DEBIT,Food,Fast Food,Arbys,,,-44.99,,
10/13/23,EUREKA WAY CHEVRON,DEBIT,,,,,,-94.98,,
10/13/23,PILOT 879,DEBIT,,,,,,-29.92,,
10/13/23,PILOT 879,DEBIT,,,,,,-100,,
10/12/23,SHARKEYS CUTS FOR KIDS,DEBIT,,,,,,-77.67,,
10/11/23,CHEVRON 0376769,DEBIT,,,,,,-75.35,,
10/11/23,RALEY S #421,DEBIT,,,,,,-198.15,,
10/11/23,STARBUCKS STORE 06986,DEBIT,,,,,,-12.2,,
10/11/23,TJMAXX #0166,DEBIT,,,,,,-21.55,,
10/09/23,Payment Received,CREDIT,,,,,,3243.35,,
10/08/23,NUGGET MARKET #6,DEBIT,,,,,,-28.06,,
10/07/23,LITTLE CAESARS 3461-00,DEBIT,,,,,,-24.1,,
10/06/23,CHEVRON 0376769,DEBIT,,,,,,-40.76,,
10/06/23,STARBUCKS STORE 05499,DEBIT,,,,,,-31.6,,
10/05/23,KFC/AW #213,DEBIT,,,,,,-17.38,,
10/05/23,WWW.TORRID.COM,DEBIT,,,,,,-39.84,,
10/04/23,BURGER KING #17484 Q07,DEBIT,,,,,,-19,,
10/04/23,TARGET        00022681,DEBIT,,,,,,-98.67,,
10/03/23,CHEVRON 0376769,DEBIT,,,,,,-108.94,,
10/02/23,MIABELLA GELATO,DEBIT,,,,,,-4.75,,
10/02/23,MIKUNI FOUNTAINS,DEBIT,,,,,,-52.12,,
10/02/23,WEST SACRAMENTO GROC,DEBIT,,,,,,-383.12,,
10/01/23,CHIPOTLE 0275,DEBIT,,,,,,-14.24,,
10/01/23,SACRAMENTO 6 DRIVE-IN,DEBIT,,,,,,-15.75,,
10/01/23,WEST WIND DRIVE-INS,DEBIT,,,,,,-10.25,,
09/30/23,CARLS JR 1100011,DEBIT,,,,,,-5.39,,
09/30/23,Payment Received,CREDIT,,,,,,4000,,
09/29/23,BISHOPS PUMPKIN FARM,DEBIT,,,,,,-46.19,,
09/29/23,BISHOPS PUMPKIN FARM,DEBIT,,,,,,-7.48,,
09/28/23,KFC/AW #213,DEBIT,,,,,,-17.58,,
09/28/23,QUICKQUACK* #0701 WASH,DEBIT,,,,,,-11.99,,
09/28/23,STARBUCKS STORE 13400,DEBIT,,,,,,-28.8,,
09/27/23,DEL LOMA RV PARK AND C,DEBIT,,,,,,-179.04,,
09/27/23,NUGGET MARKET #6,DEBIT,,,,,,-174.79,,
09/26/23,MCDONALD'S F26345,DEBIT,,,,,,-22.69,,
09/26/23,SHELL OIL 574430157QPS,DEBIT,,,,,,-108.72,,
09/24/23,O'REILLY 5820,DEBIT,,,,,,-59.49,,
09/24/23,PAPA MURPHY'S CA227,DEBIT,,,,,,-48.97,,
09/24/23,TARGET        00022681,DEBIT,,,,,,-207.22,,
09/23/23,CHEVRON 0376769,DEBIT,,,,,,-75.45,,
09/23/23,IN N OUT BURGER 109,DEBIT,,,,,,-8.9,,
09/23/23,NUGGET MARKET #6,DEBIT,,,,,,-61.11,,
09/23/23,SQ *AIR SHOW NETWORK,DEBIT,,,,,,-46.33,,
09/23/23,SQ *AIR SHOW NETWORK,DEBIT,,,,,,-4.31,,
09/22/23,EASTSIDE CHEF RESTAURA,DEBIT,,,,,,-68.2,,
09/22/23,NUGGET MARKET #6,DEBIT,,,,,,-36.05,,
09/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-29.19,,
09/21/23,STARBUCKS STORE 14059,DEBIT,,,,,,-22.25,,
09/19/23,HAWAIIAN  1732302791441,DEBIT,,,,,,-11.2,,
09/19/23,HAWAIIAN  1732302791442,DEBIT,,,,,,-11.2,,
09/19/23,HAWAIIAN  1732302791494,DEBIT,,,,,,-456,,
09/19/23,HAWAIIAN  1732302791495,DEBIT,,,,,,-456,,
09/18/23,COMPASSION INTERNATION,DEBIT,,,,,,-43,,
09/17/23,RALEY S #448,DEBIT,,,,,,-43.1,,
09/17/23,WEST SACRAMENTO GROC,DEBIT,,,,,,-146.68,,
09/16/23,ORKIN  LLC 002,DEBIT,,,,,,-53,,
09/15/23,CHEVRON 0210982,DEBIT,,,,,,-100.93,,
09/15/23,NUGGET MARKET #6,DEBIT,,,,,,-114.04,,
09/15/23,STARBUCKS STORE 05499,DEBIT,,,,,,-23.1,,
09/14/23,CHICK-FIL-A #03441,DEBIT,,,,,,-26.92,,
09/13/23,SeaQuest Folsom,DEBIT,,,,,,-20,,
